knot points: 32
datatype: FLOAT
noise: OFF
sqp exits condition: CONSTANT TIME
QD COST: 0.1
R COST: 0.0001
rho factor: 1.2
rho max: 10
test iters: 1
max sqp time: 2000
solver: PCG
max pcg iter: 167
save data: OFF
jitters: ON


start: 0 goal: 0
Removing jitters
Done removing jitters
tracking error: 0.748371
tracking error: 0.746363
tracking error: 0.744273
tracking error: 0.742235
tracking error: 0.740216
tracking error: 0.738247
tracking error: 0.736425
tracking error: 0.734526
tracking error: 0.73267
tracking error: 0.730855
tracking error: 0.72907
tracking error: 0.727337
tracking error: 0.725731
tracking error: 0.724068
tracking error: 0.722447
tracking error: 0.720868
tracking error: 0.719319
tracking error: 0.717907
tracking error: 0.696099
tracking error: 0.695437
tracking error: 0.694424
tracking error: 0.686477
tracking error: 0.675525
tracking error: 0.662731
tracking error: 0.648792
tracking error: 0.63402
tracking error: 0.618481
tracking error: 0.60219
tracking error: 0.585203
tracking error: 0.567347
tracking error: 0.548711
tracking error: 0.52931
tracking error: 0.509207
tracking error: 0.488529
tracking error: 0.46725
tracking error: 0.445538
tracking error: 0.423505
tracking error: 0.401258
tracking error: 0.378949
tracking error: 0.356603
tracking error: 0.334364
tracking error: 0.312321
tracking error: 0.290567
tracking error: 0.26915
tracking error: 0.248194
tracking error: 0.227673
tracking error: 0.207655
tracking error: 0.188181
tracking error: 0.169286
tracking error: 0.151013
tracking error: 0.133326
tracking error: 0.11625
tracking error: 0.0997936
tracking error: 0.0951828
tracking error: 0.103188
tracking error: 0.112071
tracking error: 0.121722
tracking error: 0.132072
tracking error: 0.143042
tracking error: 0.154559
tracking error: 0.166537
tracking error: 0.178944
tracking error: 0.191711
tracking error: 0.204773
tracking error: 0.218085
tracking error: 0.231587
tracking error: 0.245265
tracking error: 0.259046
tracking error: 0.272912
tracking error: 0.286824
tracking error: 0.300729
tracking error: 0.314627
tracking error: 0.328478
tracking error: 0.342255
tracking error: 0.355947
tracking error: 0.369526
tracking error: 0.382958
tracking error: 0.396247
tracking error: 0.409377
tracking error: 0.422332
tracking error: 0.435086
tracking error: 0.44765
tracking error: 0.459991
tracking error: 0.472131
tracking error: 0.484037
tracking error: 0.49571
tracking error: 0.507135
tracking error: 0.51833
tracking error: 0.529281
tracking error: 0.539981
tracking error: 0.550439
tracking error: 0.560639
tracking error: 0.57058
tracking error: 0.58027
tracking error: 0.589708
tracking error: 0.598899
tracking error: 0.607833
tracking error: 0.616515
